"","date","predicted","actual","error"
"1","2011-11-09",9.3,0,9.3
"2","2011-11-10",3.86666666666667,0,3.86666666666667
"3","2011-11-11",0,0,0
"4","2011-11-12",0,0,0
"5","2011-11-13",0,0,0
"6","2011-11-14",0,0,0
"7","2011-11-15",0,0,0
"8","2011-11-16",0,0.2,0.2
"9","2011-11-17",2.5,0,2.5
"10","2011-11-18",0,0,0
"11","2011-11-19",2.63333333333333,0,2.63333333333333
"12","2011-11-20",0,0,0
"13","2011-11-21",0,0,0
"14","2011-11-22",0,0,0
"15","2011-11-23",8.1,0,8.1
"16","2011-11-24",0,0,0
"17","2011-11-25",0,0,0
"18","2011-11-26",0,0,0
"19","2011-11-27",2.5,0,2.5
"20","2011-11-28",1.46666666666667,0,1.46666666666667
"21","2011-11-29",0,0,0
"22","2011-11-30",3.83333333333333,0,3.83333333333333
"23","2011-12-01",0,0,0
"24","2011-12-02",0,0,0
"25","2011-12-03",1.8,0,1.8
"26","2011-12-04",3.26666666666667,0,3.26666666666667
"27","2011-12-05",0.6,0,0.6
"28","2011-12-06",0.6,0,0.6
"29","2011-12-07",0,0,0
"30","2011-12-08",0.6,0,0.6
"31","2011-12-09",0,0,0
"32","2011-12-10",0.6,0.3,0.3
"33","2011-12-11",12.0666666666667,0,12.0666666666667
"34","2011-12-12",0,0,0
"35","2011-12-13",0,0,0
"36","2011-12-14",0,0,0
"37","2011-12-15",0,0,0
"38","2011-12-16",0,0,0
"39","2011-12-17",0,0,0
"40","2011-12-18",2.26666666666667,0,2.26666666666667
"41","2011-12-19",0,0,0
"42","2011-12-20",0,0,0
"43","2011-12-21",0,0,0
"44","2011-12-22",0,0,0
"45","2011-12-23",0,0,0
"46","2011-12-24",3.33333333333333,0,3.33333333333333
"47","2011-12-25",5.1,0,5.1
"48","2011-12-26",2.26666666666667,0,2.26666666666667
"49","2011-12-27",0,0,0
"50","2011-12-28",0,0,0
"51","2011-12-29",0,0,0
"52","2011-12-30",0,0,0
"53","2011-12-31",0,0,0
"54","2012-01-01",0,0,0
"55","2012-01-02",0,0,0
"56","2012-01-03",3.66666666666667,6.4,2.73333333333333
"57","2012-01-04",0.6,0,0.6
"58","2012-01-05",0,0,0
"59","2012-01-06",0,0,0
"60","2012-01-07",0,0,0
"61","2012-01-08",0,0,0
"62","2012-01-09",2.26666666666667,0,2.26666666666667
"63","2012-01-10",0,0,0
"64","2012-01-11",0,0,0
"65","2012-01-12",0,0,0
"66","2012-01-13",0.0333333333333333,2.3,2.26666666666667
"67","2012-01-14",0,0,0
"68","2012-01-15",0,0,0
"69","2012-01-16",0,0,0
"70","2012-01-17",0,0,0
"71","2012-01-18",0,0,0
"72","2012-01-19",0,0,0
"73","2012-01-20",0,0,0
"74","2012-01-21",0,0,0
"75","2012-01-22",0,0,0
"76","2012-01-23",0,0,0
"77","2012-01-24",0,0,0
"78","2012-01-25",0,0,0
"79","2012-01-26",0,0,0
"80","2012-01-27",0,0,0
"81","2012-01-28",0,0,0
"82","2012-01-29",0,0,0
"83","2012-01-30",0,0,0
"84","2012-01-31",0,0,0
