"","station","name_en","name_th","lat","long","rainfall","date"
"1",300201,"MAE HONG SON","แม่ฮ่องสอน",19.29995,97.972619,"0","2012-09-18"
"2",300202,"MAE SARIANG","แม่สะเรียง",18.176442,97.930608,"7.9","2012-09-18"
"3",303201,"CHIANG RAI","เชียงราย",19.961219,99.881294,"5.06666666666667","2012-09-18"
"4",303301,"CHIANG RAI","เชียงราย (1)",19.871839,99.779203,"3.03333333333333","2012-09-18"
"5",310201,"PHAYAO","พะเยา",19.192933,99.88365,"0","2012-09-18"
"6",327301,"MAE CHO","แม่โจ้",18.905597,99.004033,"1.2","2012-09-18"
"7",327501,"CHIANG MAI","เชียงใหม่",18.771319,98.972533,"0","2012-09-18"
"8",328201,"LAMPANG","ลำปาง",18.278122,99.506469,"0.7","2012-09-18"
"9",328301,"LAMPANG","ลำปาง (1)",18.325283,99.3017,"0.433333333333333","2012-09-18"
"10",329201,"LAMPHUN","ลำพูน",18.566811,99.038397,"5.16666666666667","2012-09-18"
"11",330201,"PHRAE","แพร่",18.128675,100.162331,"5.5","2012-09-18"
"12",331201,"NAN","น่าน",18.766894,100.763492,"11.3666666666667","2012-09-18"
"13",331301,"NAN","น่าน (1)",18.864047,100.741464,"0","2012-09-18"
"14",331401,"THA WANGPHA","ท่าวังผา (2)",19.123286,100.812894,"0.4","2012-09-18"
"15",331402,"Tung Chang","ทุ่งช้าง (2)",19.419233,100.882203,"0","2012-09-18"
"16",351201,"UTTARADIT","อุตรดิตถ์",17.624606,100.096956,"2.63333333333333","2012-09-18"
"17",352201,"NONG KHAI","หนองคาย",17.865128,102.747408,"0.933333333333333","2012-09-18"
"18",353201,"LOEI","เลย",17.452819,101.730731,"1.93333333333333","2012-09-18"
"19",353301,"LOEI","เลย (1)",17.409703,101.729831,"1.46666666666667","2012-09-18"
"20",354201,"UDON THANI","อุดรธานี",17.379667,102.806469,"0.133333333333333","2012-09-18"
"21",356201,"SAKON NAKHON","สกลนคร",17.15655,104.133303,"0.2","2012-09-18"
"22",356301,"SAKON NAKHON","สกลนคร (1)",17.125286,104.056639,"0.366666666666667","2012-09-18"
